Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
2,'004,Afghanistan,6600,Country area,5110,Area,1000 ha,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A,65286,A
2,'004,Afghanistan,6601,Land area,5110,Area,1000 ha,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,I,65223,A,65223,A,65223,A,65223,A
2,'004,Afghanistan,6602,Agriculture,5110,Area,1000 ha,37700,I,37760,I,37810,I,37873,I,37875,I,37913,I,37979,I,37980,I,37996,I,38006,I,38036,I,38046,I,38048,I,38048,I,38048,I,38048,I,38050,I,38050,I,38049,I,38049,I,38053,I,38054,I,38054,I,38054,I,38054,I,38054,I,38045,I,38040,I,38040,I,38040,I,38030,I,38030,I,37934,I,37813,I,37753,I,37752,I,37790,I,37867,I,37753,I,37753,I,37753,I,37753,I,37910,I,37911,I,37910,I,37910,I,37910,I,37910,I,37910,I,37911,I,37910,I,37910,I,37910,I,37910,I,37910,I,37910,I,37910,I,38010,I,38010,I,38356,I
2,'004,Afghanistan,6610,Agricultural land,5110,Area,1000 ha,37700,I,37760,I,37810,I,37873,I,37875,I,37913,I,37979,I,37980,I,37996,I,38006,I,38036,I,38046,I,38048,I,38048,I,38048,I,38048,I,38050,I,38050,I,38049,A,38049,A,38053,A,38054,A,38054,I,38054,I,38054,I,38054,I,38045,I,38040,I,38040,I,38040,I,38030,I,38030,I,37934,I,37813,I,37753,A,37752,I,37790,I,37867,I,37753,A,37753,A,37753,A,37753,A,37910,A,37911,A,37910,A,37910,A,37910,A,37910,A,37910,A,37911,A,37910,A,37910,A,37910,A,37910,A,37910,A,37910,A,37910,A,38010,I,38010,I,38356,I
2,'004,Afghanistan,6620,Cropland,5110,Area,1000 ha,7700,I,7760,I,7810,I,7873,A,7875,A,7913,A,7979,A,7980,A,7996,I,8006,I,8036,I,8046,I,8048,I,8048,I,8048,I,8048,I,8050,A,8050,A,8049,A,8049,A,8053,A,8054,A,8054,A,8054,A,8054,A,8054,A,8045,I,8040,I,8040,I,8040,I,8030,I,8030,I,7934,I,7813,I,7753,A,7752,I,7790,I,7867,I,7753,A,7753,A,7753,A,7753,A,7910,A,7911,A,7910,A,7910,A,7910,A,7910,A,7910,A,7911,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,8010,A,8010,A,8094,I
2,'004,Afghanistan,6621,Arable land,5110,Area,1000 ha,7650,I,7700,I,7750,I,7800,A,7800,A,7835,A,7844,A,7844,A,7860,I,7870,I,7900,I,7910,I,7910,I,7910,I,7910,I,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,A,7910,I,7910,I,7910,I,7910,I,7910,I,7910,A,7824,I,7703,I,7653,A,7647,I,7685,I,7757,I,7653,A,7683,A,7683,A,7678,A,7772,A,7816,A,7805,A,7794,A,7794,A,7794,A,7793,A,7793,A,7791,A,7790,A,7785,A,7771,A,7765,A,7729,A,7699,A,7794,I,7788,I,7829,I
2,'004,Afghanistan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,A,2111,A,3761,A,2934,A,3385,A,3529,A,3531,A,3224,A,3469,A,3481,A,3081,A,3454,A,3491,A,3485,A,3355,A,3419,A,2872,A,2300,I,3338,I,3834,A
2,'004,Afghanistan,6633,Land under temp. meadows and pastures,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I
2,'004,Afghanistan,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5181,I,5567,A,4011,A,4882,A,4420,A,4265,A,4263,A,4570,A,4324,A,4312,A,4710,A,4336,A,4294,A,4286,A,4410,A,4310,I,4827,I,5494,A,4450,A,3995,A
2,'004,Afghanistan,6650,Land under permanent crops,5110,Area,1000 ha,50,I,60,A,60,T,73,A,75,A,78,A,135,A,136,A,136,I,136,I,136,I,136,I,138,I,138,I,138,I,138,I,140,A,140,A,139,A,139,A,143,A,144,A,144,A,144,A,144,A,144,A,135,I,130,I,130,I,130,I,120,I,120,I,110,I,110,I,100,A,105,I,105,I,110,I,100,A,70,A,70,A,75,A,138,A,95,A,105,A,116,A,116,A,116,A,117,A,118,A,119,A,120,A,125,A,139,A,145,A,181,A,211,A,216,A,222,A,265,A
2,'004,Afghanistan,6655,Land under perm. meadows and pastures,5110,Area,1000 ha,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,A,30000,A,30000,A,30000,A,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,A,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,I,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30262,A
2,'004,Afghanistan,6659,Perm. meadows & pastures - Nat. growing,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,I,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30000,A,30262,I
