Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
3,'008,Albania,1357,Pesticides (total),5157,Agricultural Use,tonnes,121,E,121,E,121,E,121,E,201,E,251,E,262.4,E,273.79,E,285.19,E,296.59,E,307.98,E,319.38,E,330.78,E,342.17,E,353.57,E,364.97,E,376.36,E,387.76,E,399.16,E,410.55,E,590.5,E,582.68,E,361.62,E,450.6,E,457.47,E,538.24,E,584.49,E,614.91,E,442.35,E,729.67,E,756.51,E
3,'008,Albania,1309,Insecticides,5157,Agricultural Use,tonnes,70,I,70,I,70,I,70,A,117,A,145,A,149.92,I,154.84,I,159.76,I,164.68,I,169.6,I,174.52,I,179.44,I,184.36,I,189.28,I,194.2,I,199.12,I,204.04,I,208.96,I,213.88,E,375.8,E,317.07,E,157.57,E,214.13,E,34.48,E,148.69,E,182.28,E,191.37,E,119.32,E,141.79,E,146.75,A
3,'008,Albania,1310,Insecticides – Chlorinated Hydrocarbons,5157,Agricultural Use,tonnes,,,,,,,10,A,17,A,22,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1311,Insecticides – Organo-phosphates,5157,Agricultural Use,tonnes,,,,,,,30,A,50,A,64,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1312,Insecticides – Carbamates,5157,Agricultural Use,tonnes,,,,,,,14,A,26,A,30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1313,Insecticides – Pyrethroids,5157,Agricultural Use,tonnes,,,,,,,1,A,2,A,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1315,Insecticides – Other,5157,Agricultural Use,tonnes,,,,,,,15,A,22,A,27,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1320,Herbicides,5157,Agricultural Use,tonnes,5,I,5,I,5,I,5,A,7,A,8,A,8,I,8,I,7.99,I,7.99,I,7.99,I,7.99,I,7.98,I,7.98,I,7.98,I,7.98,I,7.98,I,7.97,I,7.97,I,7.97,E,6.91,E,19.7,E,9.77,E,22.33,E,27.65,E,67.85,E,33.66,E,56.17,E,65.89,E,117.09,E,128.45,A
3,'008,Albania,1321,Herbicides – Phenoxy hormone products,5157,Agricultural Use,tonnes,,,,,,,1.7,A,2,A,2.1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1322,Herbicides – Triazines,5157,Agricultural Use,tonnes,,,,,,,0.5,A,0.7,A,0.9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1323,Herbicides – Amides,5157,Agricultural Use,tonnes,,,,,,,0.5,A,0.8,A,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1324,Herbicides – Carbamates,5157,Agricultural Use,tonnes,,,,,,,0.1,A,0.2,A,0.4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1325,Herbicides – Dinitroanilines,5157,Agricultural Use,tonnes,,,,,,,0.2,A,0.3,A,0.3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1328,Herbicides – Sulfonyl ureas,5157,Agricultural Use,tonnes,,,,,,,0.7,A,1,A,1.1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1329,Herbicides – Bipiridils,5157,Agricultural Use,tonnes,,,,,,,0.2,A,0.3,A,0.3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1327,Herbicides – Other,5157,Agricultural Use,tonnes,,,,,,,1.1,A,1.7,A,1.9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1331,Fungicides and Bactericides,5157,Agricultural Use,tonnes,44,I,44,I,44,I,44,A,74,A,94,A,96.35,I,98.69,I,101.04,I,103.39,I,105.73,I,108.08,I,110.43,I,112.77,I,115.12,I,117.47,I,119.81,I,122.16,I,124.5,I,126.85,E,188.53,E,208.6,E,177.46,E,182.48,E,277.58,E,236.44,E,232.2,E,241.47,E,198.73,E,351.83,E,380.4,A
3,'008,Albania,1332,Fung & Bact – Inorganics,5157,Agricultural Use,tonnes,,,,,,,18,A,32,A,41,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1333,Fung & Bact – Dithiocarbamates,5157,Agricultural Use,tonnes,,,,,,,9,A,15,A,19,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1334,Fung & Bact – Benzimidazoles,5157,Agricultural Use,tonnes,,,,,,,1,A,2,A,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1335,"Fung & Bact – Triazoles, diazoles",5157,Agricultural Use,tonnes,,,,,,,1,A,1,A,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1337,Fung & Bact – Other,5157,Agricultural Use,tonnes,,,,,,,15,A,24,A,29,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1352,Fungicides – Seed treatments,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,0.01,I,0.02,I,0.03,I,0.04,I,0.05,I,0.06,I,0.07,I,0.08,I,0.09,I,0.1,I,0.12,I,0.13,I,0.14,I,0.15,I,0.16,I,0.17,I,0.18,I,0.19,I,0.2,I,0.21,I,0.22,I,0.23,E,0.23,I,0.23,I,0,I
3,'008,Albania,1353,Insecticides – Seed Treatments,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,1.8,I,3.6,I,5.4,I,7.2,I,9.01,I,10.81,I,12.61,I,14.41,I,16.21,I,18.01,I,19.81,I,21.61,I,23.41,I,25.22,E,2.05,E,3.54,E,5.2,E,1.6,E,59.01,E,6.77,E,7.6,E,10.62,E,9.34,E,9.34,I,0,I
3,'008,Albania,1341,Plant Growth Regulators,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,1.12,I,2.24,I,3.36,I,4.47,I,5.59,I,6.71,I,7.83,I,8.95,I,10.07,I,11.19,I,12.3,I,13.42,I,14.54,I,15.66,E,0.35,E,1.23,E,2.46,E,2.5,E,1.39,I,0.27,E,0.71,I,1.15,I,1.59,E,37.33,E,37.32,A
3,'008,Albania,1345,Rodenticides,5157,Agricultural Use,tonnes,2,I,2,I,2,I,2,A,3,A,4,A,4.71,I,5.42,I,6.12,I,6.83,I,7.54,I,8.25,I,8.96,I,9.67,I,10.37,I,11.08,I,11.79,I,12.5,I,13.21,I,13.91,E,9.3,E,24.48,E,0.59,E,18.48,E,47.78,E,68.13,E,117.45,E,103.04,E,35.89,E,60.7,E,63.59,A
3,'008,Albania,1346,Rodenticides – Anti-coagulants,5157,Agricultural Use,tonnes,,,,,,,1.9,A,2.9,A,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1347,Rodenticides – Other,5157,Agricultural Use,tonnes,,,,,,,0.1,A,0.1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'008,Albania,1355,Other Pesticides nes,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,0.49,I,0.99,I,1.48,I,1.98,I,2.47,I,2.96,I,3.46,I,3.95,I,4.44,I,4.94,I,5.43,I,5.93,I,6.42,I,6.91,I,7.41,I,7.9,I,8.4,I,8.89,I,9.38,I,9.88,I,10.37,I,10.86,I,11.36,E,11.36,I,0,I
4,'012,Algeria,1357,Pesticides (total),5157,Agricultural Use,tonnes,5743.46,E,7094.39,E,3876.18,E,3710,E,4058.62,E,6255.63,E,2190.88,E,1822.16,E,1498.96,E,2228.17,E,2537.4,E,2846.64,E,3155.87,E,3465.11,E,3774.35,E,2810.61,E,2504.01,E,3562.52,E,5720.11,E,3168.41,E,1869.58,E,7612.21,E,8980.17,E,8269.57,E,7151.52,E,4516.93,E,4153.38,E,6067.35,E,6067.35,E,6067.35,E,6067.35,E
4,'012,Algeria,1309,Insecticides,5157,Agricultural Use,tonnes,1187.92,E,1993.92,E,708.35,E,607.6,E,695.33,E,1399.34,E,496.62,E,553.04,E,87.73,E,325.19,E,536.25,I,747.31,I,958.38,I,1169.44,I,1380.5,E,308.93,E,236.4,E,706.95,E,391.41,E,497.12,E,203.36,E,459.73,E,392.77,E,287.37,E,381.3,E,323.43,E,251.44,E,366.99,E,366.99,I,366.99,I,366.99,I
4,'012,Algeria,1320,Herbicides,5157,Agricultural Use,tonnes,99.28,E,129.54,E,69.7,E,100.98,E,134.3,E,544.34,E,72.42,E,81.94,E,69.02,E,126.48,E,121.6,I,116.72,I,111.85,I,106.97,I,102.09,E,151.7,E,180.34,E,201.07,E,322.33,E,202.64,E,261.27,E,332.52,E,357,E,301.24,E,282.2,E,205.65,E,208.78,E,286.32,E,286.32,I,286.32,I,286.32,I
4,'012,Algeria,1331,Fungicides and Bactericides,5157,Agricultural Use,tonnes,3275.4,E,3712.8,E,1898.4,E,1909.8,E,2084.4,E,2999.4,E,553.8,E,106.8,E,215.4,E,633,E,736.05,I,839.1,I,942.15,I,1045.2,I,1148.26,E,1099.13,E,608.06,E,779.25,E,742.94,E,1207.01,E,1123.39,E,1800,E,1848.6,E,1216.8,E,1203,E,1739.98,E,1171.26,E,1576.85,E,1576.85,I,1576.85,I,1576.85,I
4,'012,Algeria,1341,Plant Growth Regulators,5157,Agricultural Use,tonnes,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,I,1059.34,E,1166.68,E,1395.05,E,1791.1,E,4179.27,E,1177.48,E,197.4,E,4935.8,E,6297.64,E,6380,E,5200.86,E,2163.71,E,2437.74,E,3753.03,E,3753.03,I,3753.03,I,3753.03,I
