,Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Afghanistan,1100.0,1100.0,1100.0,1100.0,1100.0,1500.0,10000.0,15000.0,17000.0,19400.0,20500.0,29110.0,24600.0,33900.0,36384.0,44236.0,54226.0,53669.0,49739.0,51126.0,45711.0,52783.0,56580.0,72600.0,72962.0,67280.0,79020.0,55730.0,55600.0,44500.0,48600.0,45800.0,40000.0,0.0,0.0,5000.0,5000.0,7000.0,5000.0,5000.0,18400.0,24526.53,27035.260000000002,33169.369999999995,29774.39,24869.52,16377.29,14432.03,14712.109999999999,13854.86,29816.2,18523.47,38011.93,79000.86,103464.68000000001,105733.85,157464.02000000002,58933.16,85464.8,68225.78
1,Albania,6302.0,5200.0,5300.0,6400.0,8000.0,9500.0,15500.0,37000.0,36000.0,44100.0,53800.0,55600.0,58100.0,63900.0,62500.0,72000.0,78700.0,99900.0,98100.0,93700.0,81400.0,106000.0,102700.0,94000.0,94100.0,96300.0,95000.0,96500.0,106500.0,102000.0,31300.0,23500.0,17890.0,14770.0,11000.0,6500.0,5200.0,25000.0,10600.0,18700.0,18700.0,56404.0,57406.71,58555.64,60457.92,50108.64,51106.74,47158.94,55040.42,53224.979999999996,60604.119999999995,57614.409999999996,54410.380000000005,54410.3,66327.0,78243.70000000001,61082.86,40706.52,57607.99,60816.340000000004
2,Algeria,49000.0,55000.0,53000.0,52500.0,39054.0,51300.0,51530.0,68000.0,70000.0,111000.0,179000.0,215000.0,188000.0,171000.0,123000.0,166000.0,141017.0,178107.0,169852.0,235700.0,166100.0,131339.0,154900.0,203935.0,280632.0,271660.0,241200.0,146500.0,117000.0,127000.0,91500.0,96800.0,130900.0,119300.0,46400.0,38000.0,97000.0,108000.0,93000.0,92300.0,105300.0,72765.0,45031.0,188038.0,55806.0,99072.0,111748.0,64231.0,107000.0,118500.0,118300.0,160100.0,168300.0,190500.0,175600.0,155700.0,155700.0,155700.0,155700.0,155700.0
3,Angola,1000.0,1000.0,1400.0,2100.0,4000.0,5200.0,6700.0,7600.0,10500.0,11300.0,25000.0,22300.0,21400.0,15100.0,4100.0,2100.0,31600.0,23500.0,13700.0,16800.0,12100.0,5000.0,8600.0,6991.0,20343.0,12000.0,10300.0,15909.0,23601.0,9500.0,6900.0,9100.0,8000.0,10000.0,8000.0,6000.0,2000.0,3400.0,3400.0,1400.0,0.0,5143.0,5903.0,14855.0,7460.0,12078.0,11237.0,28080.0,21889.0,34563.0,56324.0,41717.43,45393.39,45371.0,39436.84,35482.22,52305.94,38857.46,36269.8,42134.520000000004
4,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,109.0,30.0,24.0,18.0,2.0,14.0,53.0,12.0,13.0,39.39,50.12,31.810000000000002,21.06,72.85,21.05,12.9,41.089999999999996,32.989999999999995
5,Argentina,16241.0,12711.0,21080.0,29500.0,40500.0,52568.0,68460.0,67666.0,79554.0,87036.0,77100.0,86200.0,83243.0,75100.0,60300.0,78229.0,74305.0,107075.0,130082.0,115568.0,96475.0,106700.0,118500.0,158500.0,162600.0,151144.0,167900.0,162500.0,153100.0,165500.0,167300.0,248200.0,293900.0,462000.0,524700.0,855200.0,809600.0,775500.0,823500.0,862983.0,861991.0,842378.0,1200310.0,1394388.0,1197545.0,1443348.0,1794570.0,1241715.0,788194.0,1488126.0,1617843.0,1372564.0,1428027.0,1379654.32,1069248.59,1612290.23,1658455.24,1890880.06,2075931.76,2317177.05
6,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,15000.0,7000.0,7000.0,8000.0,8000.0,9620.0,6158.0,7000.0,5000.0,15708.0,10464.0,14401.0,10325.0,57900.5,26820.0,24390.3,39547.4,29625.600000000002,36366.3,58026.600000000006,59192.6,53113.1,65039.5,147530.90000000002,90339.3,90339.3,90339.3,90339.3
7,Australia,670750.0,651938.0,748792.0,971201.0,1086235.0,1128488.0,1091100.0,1141394.0,1048133.0,971230.0,1067889.0,1307908.0,1533595.0,866825.0,750861.25,1049387.36,1069814.18,1211377.99,1291636.05,1236172.61,1216917.9,1153505.1,1193933.9,1255619.4,1160755.0,1200602.3699999999,1389627.67,1402978.06,1400039.07,1168557.14,1290312.31,1424472.65,1517963.67,1733243.93,1875501.26,2024174.5,2193249.74,2258722.78,2361860.67,2284299.16,2472969.49,2265940.25,2173753.46,2432276.91,2215978.0,2073872.57,2065702.0999999999,1873821.79,1653681.3800000001,1971550.96,2158904.74,2196325.83,2273989.5,2544376.31,2470711.37,2677682.25,2746921.84,2659740.2800000003,2583112.36,2583112.36
8,Austria,251507.0,290185.0,326004.0,346472.0,363280.0,216903.0,416556.0,363493.0,421444.0,407818.0,439944.0,414002.0,414189.0,338416.0,312963.0,371529.0,376475.0,392322.0,402900.0,407300.0,394805.0,355762.0,383750.0,390300.0,388482.0,312400.0,298800.0,315200.0,274200.0,303300.0,288700.0,267000.0,262000.0,250000.0,237000.0,237336.0,263361.0,246338.0,232711.0,225433.0,218214.0,224822.0,189642.0,189678.0,181842.0,179409.0,187187.0,228873.0,118321.0,136116.0,180464.0,156397.0,177237.0,176905.0,200193.90000000002,185264.16999999998,187422.15000000002,176710.1,157087.3,169676.76
9,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,54000.0,39000.0,39000.0,16600.0,23700.0,15800.0,13800.0,4100.0,11900.0,19170.0,14050.0,22042.0,24626.0,24561.0,19722.0,38948.0,25133.0,18756.0,29369.0,36184.31,38433.71,61170.3,98757.0,88385.0,76813.0,127300.36,158439.0,220057.22999999998
