,Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Afghanistan,37700.0,37760.0,37810.0,37873.0,37875.0,37913.0,37979.0,37980.0,37996.0,38006.0,38036.0,38046.0,38048.0,38048.0,38048.0,38048.0,38050.0,38050.0,38049.0,38049.0,38053.0,38054.0,38054.0,38054.0,38054.0,38054.0,38045.0,38040.0,38040.0,38040.0,38030.0,38030.0,37934.0,37813.0,37753.0,37752.0,37790.0,37867.0,37753.0,37753.0,39893.0,39498.0,40662.0,39997.0,40124.0,40217.0,40162.0,40101.0,41582.0,41703.0,41998.0,42054.0,42094.0,42264.0,42240.0,40367.0,40181.0,39957.0,40293.0,40849.0
1,Albania,1232.0,1232.0,1233.0,1230.0,1237.0,1240.0,1244.0,1240.0,1235.0,1230.0,1200.0,1174.0,1146.0,1122.0,1080.0,1075.0,1109.0,1114.0,1117.0,1118.0,1116.0,1114.0,1110.0,1113.0,1112.0,1111.0,1111.0,1117.0,1110.0,1121.0,1127.0,1127.0,1126.0,1126.0,1127.0,1131.0,1135.0,1139.0,1145.0,1144.0,1139.0,1140.0,1121.0,1122.0,1077.0,1120.0,1314.0,1299.0,1403.3,1405.8,1405.3,1406.0,1393.569,1325.175,1333.544,1352.1,1580.2610000000002,1584.031,1590.63,1591.945
2,Algeria,45471.0,44900.0,44510.0,44164.0,44167.0,44167.0,44251.0,44203.0,44203.0,44216.0,45433.0,45396.0,44304.0,44336.0,43753.0,44021.0,43832.0,43843.0,43820.0,43830.0,39171.0,39107.0,39282.0,39610.0,39051.0,38688.0,38779.0,38817.0,38760.0,38676.0,38622.0,38865.0,38862.0,39640.0,39649.0,39636.0,39690.0,39826.0,39731.0,40021.0,40109.0,39855.0,40627.7,41938.0,42036.0,42016.0,42157.0,42164.72,42264.34,42359.22,42375.01,42441.11,42521.135,42567.259,42671.661,42620.708,42641.5018,41358.847,41358.847,41358.847
5,Angola,45177.22,45207.22,45227.22,45257.22,45277.22,45307.22,45337.22,45367.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45407.22,45562.637,45718.054,45873.471,46028.888,46184.305,46339.722,46495.139,46650.556,46805.973,46961.39,47516.451,48071.512,48626.573,49181.634,49736.695,50291.756,50846.817,51401.878,51956.939,52512.0,53067.062,53622.124,54177.186,54732.248,55287.31,55842.38,56397.43,56952.49,56952.49,56952.49
6,Antigua and Barbuda,10.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,Argentina,137829.0,136434.0,134875.0,133297.0,131780.0,130948.0,129703.0,129235.0,127382.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127383.0,127384.0,127385.0,127384.0,127384.0,127384.0,127384.0,127380.0,127470.0,127565.0,127660.0,127755.0,127850.0,127948.0,128045.0,128142.0,128235.0,128330.0,128412.0,128510.0,128606.0,130066.0,129103.3,129496.6,129920.9,130138.9,129968.4,127046.9,124328.4,126267.9,125318.4,124741.9,122937.4,120012.9,117088.4,114163.9,111239.4,109772.7597,108381.7597,108381.7597
8,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,1181.0,1200.0,1244.0,1306.0,1332.0,1328.0,1323.0,1323.0,1328.0,1391.0,1444.0,1505.0,1605.0,1910.3000000000002,1906.5,1904.56,1902.1,1890.2,1852.6999999999998,1837.4,2205.2,2204.0,2200.4,2200.3,2198.5,2199.4,2199.4,2199.4
10,Australia,474484.4445,476592.9315,479369.5782,481903.8096,486259.191,487028.5257,489580.5639,513569.5611,510888.0189,493432.4985,499536.1667,499815.0,497897.0,500357.0,499547.0,500742.0,491510.0,496100.0,493238.0,495638.0,495565.0,490772.0,483789.0,486558.0,486791.0,468541.0,471020.0,472052.0,467104.0,464437.0,462782.0,466004.0,460097.0,469143.0,463388.0,465230.0,462233.0,463881.0,453693.0,455469.0,458206.0,449545.0,441878.0,442512.0,447554.0,437471.0,427372.0,419139.0,410790.0,400421.0,411635.6,407615.0,398993.3,408630.3,368062.1,373225.0,396041.0,380380.0,385756.0,378523.0
11,Austria,3555.4,3531.0,3489.8,3476.5,3464.2,3406.0,3373.7,3359.3,3351.1,3335.8,3320.9,3307.1,3222.2,3207.3,3189.5,3183.5,3177.6,3180.8,3142.9,3141.0,3155.4,3142.7,3025.9,3033.2,3037.5,3026.8,3028.0,3048.3,3050.6,3023.9,3036.9,3013.0,2999.0,2994.1,2981.1,2973.3,2964.6,2959.9,2955.2,2940.2,2916.1,2902.2,2919.23,2867.4,2896.8,2843.3,2874.1,2809.4,2795.0,2832.16,2757.3,2735.2,2820.6600000000003,2714.2,2718.45,2746.57,2654.62,2652.83,2651.21,2646.76
12,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4446.2,4456.6,4486.0,4489.1,4526.2,4588.7,4682.1,4692.4,4740.4,6168.6,6167.9,6177.6,6182.9,6188.6,6184.5,6186.1,6186.2,6161.9,6171.9,6173.299999999999,6176.200000000001,6184.1,6187.4,6200.8,6195.9,6207.4,6212.8,6214.299999999999,6245.0
